indicator,year,value
Arthritis,2001,2576.9
Asthma,2001,2197.3
Back problems,2001,3966.0
Cancer,2001,261.3
Chronic obstructive pulmory disease,2001,664.5
Diabetes mellitus,2001,624.5
Hayfever and allergic rhinitis,2001,2935.3
Heart stroke and vascular disease,2001,782.2
Hypertension,2001,1909.1
Kidney disease,2001,30.3
Mental and behavioural conditions,2001,1812.6
Osteoporosis,2001,299.8
Total persons all ages,2001,18916.3
Total persons all ages,2001,18916.3
Excellent,2001,2825.3
Very good,2001,4912.3
Excellent / Very good,2001,7737.6
Good,2001,4526.2
Fair,2001,1992.9
Poor,2001,712.2
Fair / Poor,2001,2705.1
Total persons 15 years and over,2001,14968.9
Did not exceed lifetime risk guidelines,2001,11547.1
Exceeded lifetime risk guidelines,2001,2637.6
Total persons 18 years and over,2001,14184.7
High / Very high psychological distress,2001,1792.4
Total persons 18 years and over,2001,14184.7
Never smoked,2001,7003.4
Current daily smoker,2001,3177.1
Total persons 18 years and over,2001,14184.7
Total persons 18 years and over,2001,14184.7
Arthritis,2004,3020.1
Asthma,2004,2013.5
Back problems,2004,3277.0
Cancer,2004,337.8
Chronic obstructive pulmory disease,2004,591.1
Hayfever and allergic rhinitis,2004,3165.7
Heart stroke and vascular disease,2004,754.7
Hypertension,2004,2100.7
Kidney disease,2004,26.9
Mental and behavioural conditions,2004,2109.5
Osteoporosis,2004,585.8
Total persons all ages,2004,19681.5
Total persons all ages,2004,19681.5
Excellent,2004,3295.1
Very good,2004,5569.3
Excellent / Very good,2004,8864.4
Good,2004,4384.0
Fair,2004,1803.6
Poor,2004,709.0
Fair / Poor,2004,2512.6
Total persons 15 years and over,2004,15760.9
Did not exceed lifetime risk guidelines,2004,11686.9
Exceeded lifetime risk guidelines,2004,3276.2
Total persons 18 years and over,2004,14963.1
High / Very high psychological distress,2004,1940.8
Total persons 18 years and over,2004,14963.1
Never smoked,2004,6987.9
Current daily smoker,2004,3180.1
Total persons 18 years and over,2004,14963.1
Total persons 18 years and over,2004,14963.1
No selected chronic conditions,2007,11932.5
,2007,5297.5
,2007,2086.5
3 or more,2007,1326.6
Has 1 or more selected chronic conditions,2007,8710.7
Has 2 or more selected chronic conditions,2007,3413.2
Total persons all ages,2007,20643.1
Arthritis,2007,3135.1
Asthma,2007,2049.7
Back problems,2007,3070.3
Cancer,2007,326.6
Chronic obstructive pulmory disease,2007,490.0
Diabetes mellitus,2007,898.8
Hayfever and allergic rhinitis,2007,3107.2
Heart stroke and vascular disease,2007,1100.1
Hypertension,2007,1945.8
Kidney disease,2007,15.4
Mental and behavioural conditions,2007,2309.8
Osteoporosis,2007,692.3
Total persons all ages,2007,20643.1
Total persons all ages,2007,20643.1
Excellent,2007,3373.3
Very good,2007,5895.6
Excellent / Very good,2007,9268.9
Good,2007,4822.8
Fair,2007,1823.4
Poor,2007,685.5
Fair / Poor,2007,2508.9
Total persons 15 years and over,2007,16600.6
Did not exceed lifetime risk guidelines,2007,12457.0
Exceeded lifetime risk guidelines,2007,3294.0
Total persons 18 years and over,2007,15751.0
Underweight,2007,220.7
Normal range,2007,463.6
Normal range,2007,3678.2
Total Normal range,2007,4141.8
Overweight,2007,4121.6
Obesity class I,2007,1862.8
Obesity class II,2007,653.9
Obesity class III,2007,244.7
Total Obese,2007,2761.4
Total Overweight / Obese,2007,6882.9
Total persons 18 years and over,2007,11245.4
Lowered risk,2007,4511.1
Increased risk,2007,2631.7
Substantially increased risk,2007,4018.9
Total persons 18 years and over,2007,11161.7
Daily consumption of fruit  Did not meet recommendation,2007,7648.1
Daily consumption of vegetables  Did not meet recommendation,2007,14689.1
Daily consumption of fruit and vegetables  Did not meet either recommendation,2007,7350.2
Daily consumption of fruit and vegetables  Did not meet at least 1 recommendation,2007,14987.0
Total persons 18 years and over,2007,15751.0
High / Very high psychological distress,2007,1891.7
Total persons 18 years and over,2007,15751.0
Severe / Very severe bodily pain,2007,1522.9
Total persons 18 years and over,2007,15751.0
Never smoked,2007,7780.7
Current daily smoker,2007,2980.3
Total persons 18 years and over,2007,15751.0
Zero minutes of physical activity in last week,2007,3151.4
Total persons 18 years and over,2007,15751.0
Total persons 18 years and over,2007,15751.0
No selected chronic conditions,2011,12746.4
,2011,5629.3
,2011,2280.9
3 or more,2011,1455.3
Has 1 or more selected chronic conditions,2011,9365.3
Has 2 or more selected chronic conditions,2011,3737.0
Total persons all ages,2011,22102.0
Arthritis,2011,3265.4
Asthma,2011,2254.6
Back problems,2011,3003.8
Cancer,2011,326.6
Chronic obstructive pulmory disease,2011,529.1
Diabetes mellitus,2011,986.9
